id1_400,aspect,slope,dem,cec_barren,cec_broadleaf,cec_cropland,cec_grassland,cec_mixed_forest,cec_needleleaf,cec_shrubland,cec_urban,fwa_1,fwa_2,fwa_3,fwa_4,fwa_5,fwa_6,fwa_7,fwa_8,fwa_10ha_less,fwa_10ha_more,fwa_r,fwa_w,shrcx_10less,shrcx_10plus,str_1,str_2,str_3,str_4,str_5,str_6,str_7,str_8,str_9,str_all_1000,str_m,str_s,pa,alr,dra_p,dra_u,bec_sz_txt,bec_zn,norm_ahm,norm_bffp,norm_cmd,norm_dd5,norm_dd18,norm_effp,norm_map,norm_mat,norm_mcmt,norm_mwmt,norm_pas,norm_shm,norm_pas_sp,norm_pas_wt,mean_ahm,mean_bffp,mean_cmd,mean_dd5,mean_dd18,mean_effp,mean_ffp,mean_map,mean_mat,mean_mcmt,mean_mwmt,mean_pas,mean_pas_sp,mean_pas_wt,mean_shm,amwi,bago,buff,bwte,cago,canv,cite,cogo,come,gadw,gwte,hadu,home,ltdu,mall,nopi,nsho,rbme,redh,rndu,rudu,scau,sngo,swan,trus,wfgo,wodu,sp_div,sp_tot,mergansers,dabblers,divers,dabbler_plants,dabbler_seeds,dive_fish,dive_insects,dive_plants,ground_plants,ground_seeds,cavity,floating,ground
177,123.5037231,4.1017699,1086.984497,393,0,0,269,226,3864,273,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0.0001476,0,0,0,0,0,0,0,6.2694798,0,0.0001476,0,10489,0,6.2098236,IDFdk3,IDFdk3,278,155,289,1145,23,250,498,38,-71,146,162,669,30,96,31.44545455,153.6363678,348,1199,27.09091,252.6363678,99,444,3.854545455,-8.372727273,15.22727273,158.5454559,38,88.272728,91.81818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,156.3428345,2.3176942,1031.805298,0,44,323,31,314,3985,84,102,12,0,0,0,269,0,0,0,12,269,0,1161,3.00E-06,8.50E-06,0.0009637,0,0,0,0,0,0,0,0,8.8507805,0,0.0009637,0,2020,0,3.527281,IDFdk3,IDFdk3,305,156,314,1206,27,249,464,42,-70,150,133,628,20,84,35.10909091,157,364.9090881,1252.45459,32,251.5454559,94.5454559,403.7272727,4.072727273,-8.254545455,15.54545455,127.6363602,25.545454,74,85.00909091,0,0,0.363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.363636364,0,0,0.363636364,0,0,0,0.363636364,0,0,0,0,0.363636364,0
187,161.5647278,1.8871354,878.8440552,342,36,0,862,651,2376,458,180,25,16,205,0,0,0,0,0,246,0,0,162,8.50E-06,0,0.0005815,0,0,0,0,0,0,0,0,6.2708559,0,0.0005815,0,11289,0,9.2237291,IDFdk3,IDFdk3,292,154,301,1254,32,252,485,42,-74,154,151,650,21,97,33.59090909,151.9090881,365.6363525,1355.818237,43.272728,255.1818237,103.2727356,432.5454545,4.309090909,-8.790909091,16.27272727,143.4545441,25.636364,88.727272,87.99090909,0.181818182,0,1.272727273,0,0,0,0,0,0,0.181818182,0.545454545,0,0,0,0,0,0,0,0,1.090909091,0.454545455,0.909090909,0,0,0,0,0,1.181818182,4.636363636,0,0.909090909,3.727272727,0.363636364,0.545454545,0,2.636363636,1.090909091,0,0,0,2.363636364,2.272727273
194,211.5749359,18.6431141,899.9040527,191,0,57,364,49,4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9781332,0,0,785,4159,0,1.8858935,IDFdk3,IDFdk3,295,155,288,1121,22,253,459,36,-74,143,157,667,26,94,38.01818182,148.1818237,395,1402.727295,48.4545441,258.3636475,110.1818238,388.2727273,4.545454545,-8.436363636,16.45454545,127.5454559,21.454546,80.5454559,102.4727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,221.0593719,9.3259802,1235.739258,0,0,0,24,171,4830,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0.0008332,0,0,0,0,0,0,0,0,10.845912,0,0.0008332,245,2751,0,3.6172054,IDFdk3,IDFdk3,253,158,235,1021,15,253,517,31,-77,138,189,606,46,99,29.63636364,155.1818237,309.5454407,1106.090942,21.454546,255.3636322,100.1818085,450,3.245454545,-8.754545455,14.68181818,171.5454559,48,88.0909119,86.98181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,118.802948,15.2225342,814.1135254,97,0,0,72,17,3426,152,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013862,0,0,0,15.0324354,0.0013862,0,25,799,2.9504941,15.5866508,IDFxm,IDFxm,343,143,358,1534,64,261,451,55,-65,169,109,717,10,77,38.04545455,146.6363678,388.1818237,1485.272705,60.272728,259.9090881,113.2727203,398.7272727,4.963636364,-8.227272727,16.99090909,112.0909119,17,72.8181839,91.16363636,0.727272727,0,0,0,0.818181818,0,0,0,0,0,0,0,0,0,2.363636364,0,0,0,0,0,0,0,0,0,0,0,1.090909091,1.272727273,5,0,4.181818182,0,1.818181818,2.363636364,0,0,0,0,0.818181818,0,0,5
223,140.6969147,2.6937122,1015.258362,1234,55,0,505,292,2627,215,0,79,45,145,0,0,0,0,0,269,0,0,2143,0,0,0.0010942,0,0,0.0004385,0,0,0,0,0,20.0436935,0.0004385,0.0010942,0,11289,0,0.036754,IDFdk3,IDFdk3,276,157,274,1165,26,250,494,36,-81,149,157,595,24,96,31.5,156.2727203,336.2727356,1223.272705,29.727272,251.4545441,95.1818238,439.2727273,3.609090909,-9.481818182,15.47272727,152.4545441,29.727272,89.0909119,78.63636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.181818182,0,0.181818182,0,0,0.181818182,0,0,0,0,0,0,0,0.181818182
238,168.1596069,12.7578859,822.6273804,17,0,0,236,53,4608,111,0,1,0,0,0,0,0,0,0,1,0,0,18,0,0,0.0010022,0.0002115,0,0,0,0,0,0,0,18.3894482,0,0.0012137,423,6776,0,6.7561412,IDFdk3,IDFdk3,300,152,310,1275,34,255,479,44,-69,154,138,637,18,90,35.62727273,148.2727203,373.8181763,1445.818237,54.8181801,258.4545593,110.181839,420.8181818,4.790909091,-8.309090909,16.77272727,125.0909119,19.636364,80.9090881,87.60909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,178.4953461,4.9799147,911.2081909,0,0,0,17,27,4844,101,0,0,0,73,0,0,0,0,0,73,0,0,342,0,0,0,9.18E-05,0,0,0,0,0,0,0,6.1051841,0,9.18E-05,457,11289,0,5.1020679,IDFdk3,IDFdk3,288,154,301,1230,28,251,493,42,-70,151,151,637,22,96,34.35454545,154.8181763,383.0909119,1356.090942,42.5454559,252.9090881,98.0909118,424.0909091,4.481818182,-8.145454545,16.14545455,135.6363678,25,81.4545441,87.58181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,212.2612457,6.7999415,1137.322388,265,0,0,688,120,3899,53,0,17,25,0,0,0,0,0,0,42,0,0,105,8.30E-06,0,0.0032034,0.0011769,6.99E-05,0,0,0,0,0,0,18.9240036,0,0.0044501,0,2514,0,6.0812092,IDFdk3,IDFdk3,298,160,291,1072,19,248,453,35,-73,142,152,667,30,90,35,159.0909119,361.3636475,1159.181763,25.09091,250.5454559,91.454544,394.6363636,3.709090909,-8.181818182,15.03636364,142,34.272728,78.9090881,94.62727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,133.5866699,3.3129256,974.6245117,112,304,7,616,329,1400,1724,477,0,50,74,0,0,0,0,0,124,0,0,563,0,0,2.11E-05,0,0,0,0,0,0,0,0,6.8773899,0,2.11E-05,38,10915,1.096664,10.0597057,IDFdk3,IDFdk3,316,155,331,1253,31,249,454,43,-69,153,128,655,18,83,36.29090909,156.8181763,381.6363525,1299.45459,36.272728,251,94.1818237,395.3636364,4.263636364,-8.227272727,15.81818182,124,23.727272,73.272728,87.99090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,140.7474518,1.6046083,1135.088745,227,0,0,671,14,3800,266,0,86,26,82,0,0,0,0,0,194,0,0,502,2.90E-06,0,0.0001796,0,0,0,0,0,0,0,0,3.9797225,0,0.0001796,433,0,0,3.6505144,IDFdk3,IDFdk3,305,158,296,1104,21,247,447,36,-73,146,144,656,27,85,35.59090909,158.7272797,366.2727356,1174.363648,26.818182,248.8181763,90.0908966,387.4545455,3.718181818,-8.372727273,15.23636364,136,31.454546,74.5454559,91.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.181818182,0,0.181818182,0,0,0.181818182,0,0,0,0,0,0,0,0.181818182
288,143.9918518,2.3221545,1136.246704,67,0,0,986,11,3808,118,0,68,50,0,0,0,0,0,0,118,0,0,106,1.50E-06,0,6.89E-05,0,0,0,0,0,0,0,0,6.0323887,0,6.89E-05,0,0,0,3.2189076,IDFdk3,IDFdk3,304,159,294,1082,19,247,446,35,-73,144,147,653,28,85,35.40909091,158.9090881,366.6363525,1165.909058,25.818182,248.8181763,89.9090882,388.5454545,3.672727273,-8.381818182,15.15454545,137.4545441,31.90909,75.0909119,91.64545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,106.3215332,2.0630419,1073.001099,0,0,0,0,57,4968,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1.9103732,0,0,0,0,0,5.7308087,IDFdk3,IDFdk3,288,158,281,1128,21,248,478,38,-71,145,147,601,26,88,33.74545455,157.9090881,350.7272644,1204.363648,28,250.4545441,92.545456,414,3.863636364,-8.345454545,15.23636364,135.7272797,29.545454,75.727272,82.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,123.9258881,2.3885634,821.2376099,27,14,0,23,551,3681,98,0,13,0,90,74,0,1146,0,0,177,1146,0,1038,1.02E-05,1.40E-06,0.002168,0.0006254,0,0,0,0,0,0,0,11.2231121,0,0.0027934,1563,11289,0,5.4869804,IDFdk3,IDFdk3,295,153,305,1272,33,254,484,43,-72,154,149,657,21,95,34.32727273,148.7272797,380.4545593,1422.54541,51.1818199,256.7272644,107.9999847,431.3636364,4.6,-8.663636364,16.62727273,137.8181763,22.818182,88.1818161,89.76363636,0,0.181818182,1.818181818,0.181818182,2.454545455,0,0.181818182,0,0,0,0.363636364,0,0.363636364,0,2.727272727,0,0.181818182,0,0,7,0,0.545454545,0,0,0,0,0,3.727272727,16,0.363636364,3.636363637,10.27272727,0.181818182,3.454545455,0.363636364,2.545454545,7,0,2.454545455,0.545454545,8.818181818,6.636363636
334,186.6662445,3.1058695,1113.237183,467,20,0,1066,75,3041,192,7,10,0,68,0,249,0,0,0,78,249,0,644,1.00E-07,0,0.0019703,2.99E-05,0,0,0,0,0,0,0,13.4933176,0,0.0020001,994,1491,0,5.4451303,IDFdk3,IDFdk3,302,158,300,1126,22,249,456,38,-71,145,147,683,27,88,34.68181818,157.0909119,359.7272644,1182.181763,26.545454,251.1818237,94.0909118,400.0909091,3.781818182,-8.254545455,15.17272727,140.8181763,33.9090919,77.272728,94.00909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,150.2479706,2.7024133,975.7390747,91,309,518,350,385,1867,1013,463,15,0,0,0,0,40,0,0,15,40,0,1321,0,0,0,0,0.0004508,0,0,0,0,0,0,7.5612631,0,0.0004508,1536,11217,0.3438473,9.216136,IDFdk3,IDFdk3,316,155,332,1257,31,250,454,44,-69,153,128,656,18,83,36.31818182,156.9090881,382.4545593,1301.45459,36.363636,251.3636322,94.4545441,395.2727273,4.281818182,-8.190909091,15.8,123.8181839,23.636364,73.3636398,87.95454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,187.0989685,5.7809253,1071.727051,58,0,438,11,25,4198,244,0,26,43,67,0,0,0,0,0,136,0,0,109,2.10E-06,0,0.0003907,0.0002935,0,0.0022712,0,0,0,0,0,25.7260113,0.0022712,0.0006842,1512,4835,0,2.0153048,IDFdk3,IDFdk3,328,155,314,1212,28,251,432,42,-70,150,123,663,20,77,35.44545455,159.0909119,369.1818237,1238.45459,31.727272,251.9090881,92.8181762,398.2727273,4.045454545,-8.1,15.56363636,128.4545441,27.636364,73,86.29090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,148.1108246,3.294451,1212.386108,1961,22,0,1505,18,637,830,0,39,0,0,28,0,0,0,0,67,0,0,967,2.90E-05,0,7.27E-05,0,0,0.001868,0,0,0,0,0,10.6661987,0.001868,7.27E-05,282,79,0,4.0565939,IDFdk3,IDFdk3,256,169,255,989,14,241,500,28,-86,138,183,570,34,101,29.28181818,168,315.8181763,1032.090942,18,242.8181763,74.8181763,443.7272727,2.8,-9.727272727,14.36363636,175.3636322,40.0909081,92.8181839,77.02727273,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0.363636364,0,0,0,0,0.363636364,0,0,0,0,0,0,0,0.363636364,0.818181818,0,0.363636364,0.363636364,0,0.363636364,0,0,0.363636364,0,0.090909091,0,0.363636364,0.454545455
374,146.5180511,2.3797479,1138.37439,952,0,0,2483,106,606,502,8,91,111,61,139,335,0,0,22,402,357,0,965,4.00E-07,8.50E-06,0.0013829,1.22E-05,0,0.0022954,0,0,0,0,0,27.602066,0.0022954,0.0013951,2264,11289,0,4.9560246,IDFdk3,IDFdk3,322,160,307,1101,20,247,422,36,-73,144,134,675,25,80,37.37272727,159.5454559,375.1818237,1159.363648,25.636364,248.1818237,88.6363678,367.4545455,3.636363636,-8.363636364,15.15454545,128.1818237,29.818182,70.6363602,95.4,0.727272727,0,1.818181818,0.181818182,1.636363636,0,0.181818182,0,0,0,0,0,0.181818182,0,0.909090909,0,0,0,0,3.818181818,0,0.545454545,0,0,0,0,0,3.090909091,10,0.181818182,2,6.545454546,0.727272727,1.272727273,0.181818182,2.363636364,3.818181818,0,1.636363636,0.181818182,5.636363636,4.181818182
377,123.7856216,3.4622705,1012.483582,38,77,396,1582,249,1953,583,147,0,0,0,0,0,0,0,0,0,0,0,263,0,0,9.10E-06,0,0,0,0,0,0,0,0,9.5386972,0,9.10E-06,0,11289,0,6.3153358,IDFdk3,IDFdk3,294,155,309,1201,27,251,476,40,-73,150,154,698,26,93,34.01818182,154.4545441,369.3636475,1269.54541,33.8181801,253,98.5454559,417.4545455,4.036363636,-8.581818182,15.71818182,145.7272797,30.545454,84.1818161,96.42727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,200.083374,5.7135282,1131.79187,13,0,0,177,90,4690,54,0,34,25,0,0,3,0,0,0,59,3,0,252,1.00E-07,0,0.0006102,0,0,0,0,0,0,0,0,15.4772654,0,0.0006102,0,4160,0,4.6414981,IDFdk3,IDFdk3,285,160,275,1020,16,248,464,32,-75,139,166,646,35,95,36.10909091,159.5454559,370.1818237,1156.181763,25.09091,249.9090881,90.3636322,382.0909091,3.7,-8.218181818,15.04545455,137.8181763,33.1818199,75.272728,97.17272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,174.480896,2.138082,1102.571045,1083,0,0,681,0,2688,561,0,44,28,4,0,0,0,0,0,76,0,0,291,1.00E-07,0,0.00108,0,0,0,0,0,0,0,0,15.5429106,0,0.00108,29,0,0,6.2124496,IDFdk3,IDFdk3,271,161,273,1072,19,245,499,35,-72,143,169,609,33,96,31.70909091,159.5454559,344.9090881,1157.818237,25.272728,247.8181763,88.2727204,434.5454545,3.663636364,-8.345454545,15.08181818,155.1818237,36.636364,84.272728,85.18181818,0,0,0,0,0,0,0,0,0,0,0.545454545,0,0,0,1.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545,1.636363636,0,1.636363636,0,0,1.636363636,0,0,0,0,0,0,0,1.636363636
413,181.5281525,5.6158528,875.4932251,274,6,824,85,70,3341,118,296,0,22,0,0,0,0,0,0,22,0,0,246,0,0,6.69E-05,0.0012028,0,0,0.0010955,0,0,0,0,17.4381485,0.0010955,0.0012697,3,10293,1.806711,7.782515,IDFxm,IDFxm,350,145,375,1497,58,258,438,53,-66,167,114,756,11,82,38.4,148.6363678,401.3636475,1459.181763,57,257.7272644,109.0908966,390.1818182,4.854545455,-8.190909091,16.9,115.727272,19.181818,74.6363602,95.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
